Record_ID,Customer_ID,Campaign_ID,Product_ID,Impressions,Clicks,Leads,Conversions,Marketing_Spend,Revenue,CTR,Conversion_Rate,Cost_Per_Acquisition,ROI
1,CUST-9691,CMP-107,PRD-01,237440,8815,1030,143,3457.85,18352.62,3.7125168463611855,13.883495145631066,24.18076923076923,430.7523461110227
2,CUST-3617,CMP-109,PRD-02,72948,4108,584,123,1554.75,11226.21,5.63140867467237,21.06164383561644,12.640243902439025,622.058851905451
3,CUST-4405,CMP-108,PRD-03,48397,2147,279,39,820.87,19021.08,4.436225385871025,13.978494623655912,21.047948717948717,2217.1854252195844
4,CUST-2805,CMP-103,PRD-04,93547,4429,1048,186,1128.62,27462.9,4.73451847734294,17.748091603053435,6.067849462365591,2333.3167939607665
5,CUST-2621,CMP-101,PRD-05,76593,3398,334,49,1490.7,14909.23,4.436436750094656,14.67065868263473,30.422448979591838,900.149594150399
6,CUST-1383,CMP-103,PRD-04,52661,1699,416,45,1100.6,7306.65,3.2262965002563564,10.817307692307693,24.457777777777775,563.8787933854261
7,CUST-7547,CMP-102,PRD-02,269921,3374,366,22,2337.43,2150.72,1.2499953690153787,6.0109289617486334,106.24681818181817,-7.98783279071459
8,CUST-3607,CMP-113,PRD-03,366009,9618,942,24,8442.01,12557.28,2.627804234322107,2.547770700636943,351.7504166666667,48.74751392144762
9,CUST-1480,CMP-109,PRD-06,38039,1633,402,69,884.78,83698.38,4.292962485869765,17.16417910447761,12.822898550724638,9359.795655417167
10,CUST-9933,CMP-114,PRD-03,59583,1557,281,61,877.0,32635.0,2.6131614722320124,21.70818505338078,14.37704918032787,3621.2086659064994
11,CUST-4180,CMP-103,PRD-05,36701,1683,320,47,816.78,12693.29,4.585706111550094,14.6875,17.378297872340426,1454.064742035799
12,CUST-5132,CMP-101,PRD-03,102800,5359,387,56,2215.48,26070.8,5.213035019455252,14.470284237726098,39.56214285714286,1076.756278549118
13,CUST-2269,CMP-104,PRD-04,48952,1824,173,25,1103.8,4039.0,3.726099035790162,14.450867052023122,44.152,265.9177387207827
14,CUST-8006,CMP-106,PRD-05,177915,4921,607,74,2301.97,20188.68,2.7659275496725964,12.191103789126853,31.1077027027027,777.0175110883288
15,CUST-4538,CMP-113,PRD-01,791419,49724,5804,249,8882.78144999993,33913.8,6.282891868908884,4.290144727773949,35.673821084337064,281.79257466702927
