Customer_ID,Customer_Age,Gender,City,Region,Customer_Segment,Campaign_ID,Campaign_Name,Campaign_Date,Channel,Campaign_Type,Product_Category,Product,Impressions,Clicks,Leads,Conversions,Marketing_Spend,Revenue,Customer_Acquisition_Cost,Order_Value,Year_Month,CTR,Conversion_Rate,Cost_Per_Click,Cost_Per_Lead,Cost_Per_Acquisition,Revenue_Per_Conversion,ROI,Age_Group
CUST-9691,27,Male,Los Angeles,West,Consumer Budget,CMP-107,Cyber November Mega Sale,2024-12-31,Instagram,Seasonal Sale,Electronics,4K UltraHD Streamer Box,237440,8815,1030,143,3457.85,18352.62,24.18,128.34,2024-12,3.7125168463611855,13.883495145631066,0.3922688598979013,3.357135922330097,24.18076923076923,128.34,430.7523461110227,26-35
CUST-3617,35,Male,Miami,South,Consumer Budget,CMP-109,Email Newsletter Nurture,2025-03-12,Referral,Lead Generation,Apparel,Premium Designer Denim Jacket,72948,4108,584,123,1554.75,11226.21,12.64,91.27,2025-03,5.63140867467237,21.06164383561644,0.378468841285297,2.6622431506849313,12.640243902439025,91.27,622.058851905451,26-35
CUST-4405,24,Male,Minneapolis,Midwest,SMB,CMP-108,Holiday Gift Extravaganza,2024-10-28,Google Ads,Seasonal Sale,Software/SaaS,CloudAnalytics Pro SaaS,48397,2147,279,39,820.87,19021.08,21.05,487.72,2024-10,4.436225385871025,13.978494623655912,0.38233348858872845,2.9421863799283154,21.047948717948717,487.72,2217.1854252195844,18-25
CUST-2805,26,Female,Philadelphia,North East,Consumer Budget,CMP-103,Enterprise SaaS LeadGen,2025-05-23,Google Ads,Lead Generation,Fitness,UltraFit Smartwatch 5,93547,4429,1048,186,1128.62,27462.9,6.07,147.65,2025-05,4.73451847734294,17.748091603053435,0.25482501693384507,1.0769274809160305,6.067849462365591,147.65,2333.3167939607665,26-35
CUST-2621,33,Female,Boston,North East,SMB,CMP-101,Q1 Brand Refresh,2025-01-07,Search,Brand Awareness,Home & Living,Ergonomic Executive Chair,76593,3398,334,49,1490.7,14909.23,30.42,304.27,2025-01,4.436436750094656,14.67065868263473,0.4386992348440259,4.463173652694611,30.422448979591838,304.27,900.149594150399,26-35
CUST-1383,37,Male,Dallas,South,Consumer Budget,CMP-103,Enterprise SaaS LeadGen,2024-08-09,Facebook,Lead Generation,Fitness,UltraFit Smartwatch 5,52661,1699,416,45,1100.6,7306.65,24.46,162.37,2024-08,3.2262965002563564,10.817307692307693,0.6477928193054737,2.6456730769230767,24.457777777777775,162.37,563.8787933854261,36-50
CUST-7547,43,Male,Chicago,Midwest,Consumer Budget,CMP-102,Spring Tech Blowout,2024-10-27,Display,Seasonal Sale,Apparel,Premium Designer Denim Jacket,269921,3374,366,22,2337.43,2150.72,106.25,97.76,2024-10,1.2499953690153787,6.0109289617486334,0.6927771191464137,6.386420765027322,106.24681818181817,97.75999999999999,-7.98783279071459,36-50
CUST-3607,25,Male,Detroit,Midwest,SMB,CMP-113,High-Spend Experimental Push,2024-03-22,Facebook,Brand Awareness,Software/SaaS,CloudAnalytics Pro SaaS,366009,9618,942,24,8442.01,12557.28,351.75,523.22,2024-03,2.627804234322107,2.547770700636943,0.8777302973591183,8.961794055201699,351.7504166666667,523.22,48.74751392144762,18-25
CUST-1480,48,Female,Philadelphia,North East,B2B Enterprise,CMP-109,Email Newsletter Nurture,2025-01-21,Search,Lead Generation,Software/SaaS,CyberSecurity Enterprise Suite,38039,1633,402,69,884.78,83698.38,12.82,1213.02,2025-01,4.292962485869765,17.16417910447761,0.5418126148193508,2.2009452736318407,12.822898550724638,1213.02,9359.795655417167,36-50
CUST-9933,72,Female,New York,North East,SMB,CMP-114,Low-Budget High-Conversion Niche,2024-01-10,Facebook,Lead Generation,Software/SaaS,CloudAnalytics Pro SaaS,59583,1557,281,61,877.0,32635.0,14.38,535.0,2024-01,2.6131614722320124,21.70818505338078,0.5632626846499679,3.1209964412811386,14.37704918032787,535.0,3621.2086659064994,65+
