Customer_ID,Customer_Age,Age_Group,Gender,City,Region,Customer_Segment
CUST-9691,27,26-35,Male,Los Angeles,West,Consumer Budget
CUST-3617,35,26-35,Male,Miami,South,Consumer Budget
CUST-4405,24,18-25,Male,Minneapolis,Midwest,SMB
CUST-2805,26,26-35,Female,Philadelphia,North East,Consumer Budget
CUST-2621,33,26-35,Female,Boston,North East,SMB
CUST-1383,37,36-50,Male,Dallas,South,Consumer Budget
CUST-7547,43,36-50,Male,Chicago,Midwest,Consumer Budget
CUST-3607,25,18-25,Male,Detroit,Midwest,SMB
CUST-1480,48,36-50,Female,Philadelphia,North East,B2B Enterprise
CUST-9933,72,65+,Female,New York,North East,SMB
CUST-4180,31,26-35,Male,Seattle,West,Consumer Premium
CUST-5132,50,36-50,Female,Minneapolis,Midwest,SMB
CUST-2269,44,36-50,Female,Detroit,Midwest,Consumer Budget
CUST-8006,45,36-50,Female,Minneapolis,Midwest,SMB
CUST-4538,18,18-25,Male,Chicago,Midwest,Consumer Budget
CUST-3163,22,18-25,Male,Miami,South,SMB
CUST-4839,22,18-25,Female,Los Angeles,West,Consumer Budget
CUST-2744,24,18-25,Female,Chicago,Midwest,Consumer Premium
CUST-8861,46,36-50,Male,Miami,South,B2B Enterprise
CUST-4543,30,26-35,Other,Atlanta,South,Consumer Premium
CUST-7032,47,36-50,Female,San Francisco,West,Consumer Premium
CUST-5284,39,36-50,Female,Seattle,West,B2B Enterprise
CUST-5980,38,36-50,Male,Detroit,Midwest,SMB
CUST-7114,39,36-50,Female,Dallas,South,SMB
CUST-9505,48,36-50,Non-Binary,Dallas,South,Consumer Premium
CUST-5989,24,18-25,Female,Atlanta,South,Consumer Budget
CUST-7771,42,36-50,Male,Minneapolis,Midwest,Consumer Budget
CUST-6078,23,18-25,Non-Binary,San Francisco,West,SMB
CUST-6924,18,18-25,Female,Atlanta,South,Consumer Budget
CUST-6138,32,26-35,Male,New York,North East,Consumer Budget
CUST-1943,23,18-25,Female,Detroit,Midwest,SMB
CUST-5916,31,26-35,Female,New York,North East,Consumer Budget
CUST-7544,53,51-65,Male,Chicago,Midwest,Consumer Premium
CUST-6018,18,18-25,Male,Dallas,South,SMB
CUST-3558,26,26-35,Male,Atlanta,South,Consumer Budget
CUST-3784,44,36-50,Female,New York,North East,Consumer Budget
CUST-1093,37,36-50,Female,Dallas,South,B2B Enterprise
CUST-3326,36,36-50,Female,Seattle,West,Consumer Budget
CUST-8771,44,36-50,Female,Minneapolis,Midwest,SMB
CUST-4190,40,36-50,Male,Atlanta,South,SMB
CUST-5969,33,26-35,Male,Los Angeles,West,SMB
CUST-2593,46,36-50,Male,Boston,North East,Consumer Budget
CUST-6630,38,36-50,Female,Minneapolis,Midwest,Consumer Budget
CUST-6172,42,36-50,Male,New York,North East,SMB
CUST-8061,58,51-65,Female,Dallas,South,SMB
CUST-6745,41,36-50,Male,Chicago,Midwest,B2B Enterprise
CUST-7764,21,18-25,Male,Atlanta,South,Consumer Premium
CUST-7352,36,36-50,Female,Philadelphia,North East,Consumer Premium
CUST-4198,46,36-50,Male,Seattle,West,Consumer Premium
CUST-2660,51,51-65,Male,Philadelphia,North East,Consumer Premium
CUST-3486,48,36-50,Male,New York,North East,Consumer Budget
CUST-8284,29,26-35,Male,Detroit,Midwest,Consumer Premium
CUST-6411,60,51-65,Female,New York,North East,SMB
CUST-5442,57,51-65,Female,San Francisco,West,SMB
CUST-3832,32,26-35,Male,Minneapolis,Midwest,Consumer Premium
CUST-5417,35,26-35,Male,Detroit,Midwest,Consumer Premium
CUST-1282,47,36-50,Male,Seattle,West,SMB
CUST-3970,46,36-50,Male,Dallas,South,B2B Enterprise
CUST-7687,18,18-25,Male,Minneapolis,Midwest,Consumer Premium
CUST-5976,39,36-50,Male,Seattle,West,Consumer Budget
CUST-8155,32,26-35,Male,San Francisco,West,SMB
CUST-8598,38,36-50,Male,Boston,North East,Consumer Premium
CUST-9232,33,26-35,Female,San Francisco,West,Consumer Budget
CUST-8975,60,51-65,Male,Seattle,West,Consumer Budget
