Customer_ID,Customer_Age,Gender,City,Region,Customer_Segment,Campaign_ID,Campaign_Name,Campaign_Date,Channel,Campaign_Type,Product_Category,Product,Impressions,Clicks,Leads,Conversions,Marketing_Spend,Revenue,Customer_Acquisition_Cost,Order_Value
CUST-9691,27,Male,Los Angeles,West,Consumer Budget,CMP-107,Cyber November Mega Sale,2024-12-31,Instagram,Seasonal Sale,Electronics,4K UltraHD Streamer Box,237440,8815,1030.0,143,3457.85,18352.62,24.18,128.34
CUST-3617,35,Male,Miami,South,Consumer Budget,CMP-109,Email Newsletter Nurture,2025-03-12,Referral,Lead Generation,Apparel,Premium Designer Denim Jacket,72948,4108,584.0,123,1554.75,11226.21,12.64,91.27
CUST-4405,24,Male,Minneapolis,Midwest,SMB,CMP-108,Holiday Gift Extravaganza,2024-10-28,Google Ads,Seasonal Sale,Software/SaaS,CloudAnalytics Pro SaaS,48397,2147,279.0,39,820.87,19021.08,21.05,487.72
CUST-2805,26,Female,Philadelphia,North East,Consumer Budget,CMP-103,Enterprise SaaS LeadGen,2025-05-23,Google Ads,Lead Generation,Fitness,UltraFit Smartwatch 5,93547,4429,1048.0,186,1128.62,27462.9,6.07,147.65
CUST-2621,33,Female,Boston,North East,SMB,CMP-101,Q1 Brand Refresh,2025-01-07,Search,Brand Awareness,Home & Living,Ergonomic Executive Chair,76593,3398,334.0,49,1490.7,14909.23,30.42,304.27
CUST-1383,37,Male,Dallas,South,Consumer Budget,CMP-103,Enterprise SaaS LeadGen,2024-08-09,Facebook  ,Lead Generation,Fitness,UltraFit Smartwatch 5,52661,1699,416.0,45,1100.6,7306.65,24.46,162.37
CUST-7547,43,Male,Chicago,Midwest,Consumer Budget,CMP-102,Spring Tech Blowout,2024-10-27,Display,Seasonal Sale,Apparel,Premium Designer Denim Jacket,269921,3374,366.0,22,2337.43,2150.72,106.25,97.76
CUST-3607,25,Male,Detroit,Midwest,SMB,CMP-113,High-Spend Experimental Push,2024-03-22,Facebook,Brand Awareness,Software/SaaS,CloudAnalytics Pro SaaS,366009,9618,942.0,24,8442.01,12557.28,351.75,523.22
CUST-1480,48,Female,Philadelphia,North East,B2B Enterprise,CMP-109,Email Newsletter Nurture,2025-01-21,Search,Lead Generation,Software/SaaS,CyberSecurity Enterprise Suite,38039,1633,402.0,69,884.78,83698.38,12.82,1213.02
CUST-9933,72,Female,New York,North East,SMB,CMP-114,Low-Budget High-Conversion Niche,2024-01-10,Facebook,Lead Generation,Software/SaaS,CloudAnalytics Pro SaaS,59583,1557,281.0,61,877.0,32635.0,14.38,535.0
CUST-4180,31,Male,Seattle,West,Consumer Premium,CMP-103,Enterprise SaaS LeadGen,2024-04-26,Search,Lead Generation,Home & Living,Ergonomic Executive Chair,36701,1683,320.0,47,816.78,,17.38,270.07
CUST-5132,50,Female,Minneapolis,Midwest,SMB,CMP-101,Q1 Brand Refresh,2025-04-24,Referral,Brand Awareness,Software/SaaS,CloudAnalytics Pro SaaS,102800,5359,387.0,56,2215.48,26070.8,39.56,465.55
CUST-2269,44,Female,Detroit,Midwest,Consumer Budget,CMP-104,Summer Fashion Retargeting,2024-03-28,Instagram,Retargeting,Fitness,UltraFit Smartwatch 5,48952,1824,173.0,25,1103.8,4039.0,44.15,161.56
CUST-8006,45,Female,Minneapolis,Midwest,SMB,CMP-106,Fall Hardware Promo,2025-02-22,Facebook,Seasonal Sale,Home & Living,Ergonomic Executive Chair,177915,4921,607.0,74,2301.97,20188.68,31.11,272.82
CUST-4538,18,Male,Chicago,Midwest,Consumer Budget,CMP-113,High-Spend Experimental Push,2024-11-07,Email,Brand Awareness,Electronics,4K UltraHD Streamer Box,791419,49724,5804.0,249,9643.36,33913.8,38.73,136.2
CUST-3163,22,Male,Miami,South,SMB,CMP-111,Influencer Video Push,2024-10-11,Google Ads,Brand Awareness,Software/SaaS,CloudAnalytics Pro SaaS,60198,2877,273.0,48,1027.67,24554.88,21.41,511.56
CUST-4839,22,Female,Los Angeles,West,Consumer Budget,CMP-107,Cyber November Mega Sale,2024-02-15,Facebook,Seasonal Sale,Fitness,UltraFit Smartwatch 5,20795,644,71.0,8,196.92,1232.0,24.61,154.0
CUST-2744,24,Female,Chicago,Midwest,Consumer Premium,CMP-112,VIP Customer Loyalty Drive,2024-12-01,Google Ads,Retargeting,Home & Living,Ergonomic Executive Chair,123053,4726,,50,2923.23,15280.0,58.46,305.6
CUST-8861,46,Male,Miami,South,B2B Enterprise,CMP-108,Holiday Gift Extravaganza,2024-09-29,Email,Seasonal Sale,Software/SaaS,CloudAnalytics Pro SaaS,68821,4055,500.0,85,1201.64,46005.4,14.14,541.24
CUST-4543,30,Other,Atlanta,South,Consumer Premium,CMP-102,Spring Tech Blowout,2024-03-19,Search,Seasonal Sale,Fitness,UltraFit Smartwatch 5,102810,5808,614.0,81,1861.08,11696.4,22.98,144.4
CUST-7032,47,Female,San Francisco,West,Consumer Premium,CMP-108,Holiday Gift Extravaganza,2025-06-03,Facebook,Seasonal Sale,Fitness,UltraFit Smartwatch 5,242285,6127,521.0,57,2833.67,8948.43,49.71,156.99
CUST-5284,39,Female,Seattle,West,B2B Enterprise,CMP-109,Email Newsletter Nurture,2024-08-27,Email,Lead Generation,Software/SaaS,CloudAnalytics Pro SaaS,111123,7426,1637.0,255,1933.25,118243.5,7.58,463.7
CUST-5980,38,Male,Detroit,Midwest,SMB,CMP-101,Q1 Brand Refresh,2024-07-12,Facebook,Brand Awareness,Home & Living,Adjustable Standing Desk,27302,719,59.0,7,423.12,3434.06,60.45,490.58
CUST-7114,39,Female,Dallas,South,SMB,CMP-112,VIP Customer Loyalty Drive,2025-03-31,Search,Retargeting,Home & Living,Ergonomic Executive Chair,65066,3961,377.0,55,1431.81,16024.25,26.03,291.35
CUST-9505,48,Non-Binary,Dallas,South,Consumer Premium,CMP-112,VIP Customer Loyalty Drive,2025-03-21,Google Ads,Retargeting,Home & Living,Adjustable Standing Desk,81279,4080,297.0,43,1476.03,20986.15,34.33,488.05
CUST-5989,24,Female,Atlanta,South,Consumer Budget,CMP-105,SmartHome Hub Launch,2024-06-11,Instagram,Product Launch,Electronics,4K UltraHD Streamer Box,48550,1384,111.0,16,813.65,2050.88,50.85,128.18
CUST-7771,42,Male,Minneapolis,Midwest,Consumer Budget,CMP-103,Enterprise SaaS LeadGen,2024-11-06,Instagram,Lead Generation,Electronics,4K UltraHD Streamer Box,60207,1616,252.0,30,897.71,3802.2,29.92,126.74
CUST-6078,23,Non-Binary,San Francisco,West,SMB,CMP-114,Low-Budget High-Conversion Niche,2024-11-21,instagram,Lead Generation,Home & Living,Adjustable Standing Desk,26410,766,150.0,40,360.68,17390.8,9.02,434.77
CUST-6924,18,Female,Atlanta,South,Consumer Budget,CMP-110,Display Banner Remarketing,2025-01-14,Display,Retargeting,Apparel,Premium Designer Denim Jacket,102444,1024,98.0,7,1299.47,595.84,185.64,85.12
CUST-6138,32,Male,New York,North East,Consumer Budget,CMP-105,SmartHome Hub Launch,2024-07-02,YouTube,Product Launch,Fitness,UltraFit Smartwatch 5,113332,1799,215.0,19,2533.39,,133.34,159.84
CUST-1943,23,Female,Detroit,Midwest,SMB,CMP-112,VIP Customer Loyalty Drive,2024-12-26,Google Ads,Retargeting,Home & Living,Ergonomic Executive Chair,64157,2655,277.0,33,1314.0,9105.69,39.82,275.93
