Campaign_ID,Campaign_Name,Campaign_Date,Channel,Campaign_Type
CMP-107,Cyber November Mega Sale,2024-12-31,Instagram,Seasonal Sale
CMP-109,Email Newsletter Nurture,2025-03-12,Referral,Lead Generation
CMP-108,Holiday Gift Extravaganza,2024-10-28,Google Ads,Seasonal Sale
CMP-103,Enterprise SaaS LeadGen,2025-05-23,Google Ads,Lead Generation
CMP-101,Q1 Brand Refresh,2025-01-07,Search,Brand Awareness
CMP-102,Spring Tech Blowout,2024-10-27,Display,Seasonal Sale
CMP-113,High-Spend Experimental Push,2024-03-22,Facebook,Brand Awareness
CMP-114,Low-Budget High-Conversion Niche,2024-01-10,Facebook,Lead Generation
CMP-104,Summer Fashion Retargeting,2024-03-28,Instagram,Retargeting
CMP-106,Fall Hardware Promo,2025-02-22,Facebook,Seasonal Sale
CMP-111,Influencer Video Push,2024-10-11,Google Ads,Brand Awareness
CMP-112,VIP Customer Loyalty Drive,2024-12-01,Google Ads,Retargeting
CMP-105,SmartHome Hub Launch,2024-06-11,Instagram,Product Launch
CMP-110,Display Banner Remarketing,2025-01-14,Display,Retargeting
